Frank Lowy ,Australia,shopping malls,Real Estate 
Ronda Stryker ,United States,medical equipment,Healthcare 
Alejandro Bailleres Gual & siblings ,Mexico,mining,Diversified 
Benu Gopal Bangur ,India,cement,Manufacturing 
James Goodnight ,United States,software,Technology 
Alain Merieux & family ,France,pharmaceuticals,Healthcare 
Enrique Razon Jr. ,Philippines,ports,Logistics 
Robert F. Smith ,United States,private equity,Finance & Investments 
Brian Armstrong ,United States,cryptocurrency,Finance & Investments 
Dannine Avara ,United States,pipelines,Energy 
Patrick Drahi ,France,telecom,Telecom 
Scott Duncan ,United States,pipelines,Energy 
Milane Frantz ,United States,pipelines,Energy 
Andreas Halvorsen ,Norway,hedge funds,Finance & Investments 
Law Kar Po ,Hong Kong,real estate,Real Estate 
Nicolas Puech ,France,Hermes,Fashion & Retail 
Viktor Rashnikov ,Russia,steel,Manufacturing 
Dmitry Rybolovlev ,Russia,fertilizer,Manufacturing 
Randa Duncan Williams ,United States,pipelines,Energy 
Chen Jianhua ,China,chemicals,Manufacturing 
John Grayken ,Ireland,private equity,Finance & Investments 
Ray Lee Hunt ,United States,"oil, real estate",Energy 
Philippe Laffont ,United States,hedge fund,Finance & Investments 
"Henry Nicholas, III. ",United States,semiconductors,Technology 
Axel Oberwelland & siblings ,Germany,candy,Food & Beverage 
Cliff Obrecht ,Australia,software,Technology 
John Overdeck ,United States,hedge funds,Finance & Investments 
Melanie Perkins ,Australia,software,Technology 
Ruan Hongliang & family ,China,glass,Manufacturing 
David Siegel ,United States,hedge funds,Finance & Investments 
David Velez ,Colombia,fintech,Finance & Investments 
Juergen Blickle ,Germany,auto parts,Manufacturing 
Cheng Xue ,China,soy sauce,Food & Beverage 
Jack Dangermond ,United States,mapping software,Technology 
Jiang Weiping & family ,China,chemicals,Manufacturing 
Takahisa Takahara ,Japan,personal care goods,Fashion & Retail 
Orlando Bravo ,United States,private equity,Finance & Investments 
Hong Ra-hee ,South Korea,Samsung,Technology 
"Edward Johnson, IV. ",United States,money management,Finance & Investments 
Li Xiaohua & family ,China,packaging,Manufacturing 
Sri Prakash Lohia ,Indonesia,petrochemicals,Manufacturing 
Miao Hangen ,China,"textiles, petrochemicals",Diversified 
Bobby Murphy ,United States,Snapchat,Technology 
Wu Jianshu ,Hong Kong,auto parts,Automotive 
Maria Asuncion Aramburuzabala & family ,Mexico,"beer, investments",Food & Beverage 
Melinda French Gates ,United States,Microsoft,Technology 
Bruce Kovner ,United States,hedge funds,Finance & Investments 
Pham Nhat Vuong ,Vietnam,diversified,Diversified 
Michal Solowow ,Poland,investments,Finance & Investments 
Leonard Stern ,United States,real estate,Real Estate 
Stef Wertheimer & family ,Israel,metalworking tools,Manufacturing 
Rocco Commisso ,United States,telecom,Telecom 
Jack Dorsey ,United States,"Twitter, Square",Technology 
Lin Li ,China,investments,Finance & Investments 
George Lucas ,United States,Star Wars,Media & Entertainment 
Evan Spiegel ,United States,Snapchat,Technology 
Zhao Yan ,China,biotech,Diversified 
Tom Gores ,United States,private equity,Finance & Investments 
Leo Koguan ,United States,IT provider,Technology 
Alexei Kuzmichev ,Russia,"oil, banking, telecom",Energy 
Fredrik Lundberg ,Sweden,"real estate, investments",Real Estate 
John Morris ,United States,sporting goods retail,Fashion & Retail 
Ivar Tollefsen ,Norway,real estate,Real Estate 
"John, Alan & Bruce Wilson ",Australia,retailing,Fashion & Retail 
Stephen Bisciotti ,United States,"staffing, Baltimore Ravens",Sports 
Mahendra Choksi & family ,India,paints,Manufacturing 
Jian Jun ,China,biomedical products,Healthcare 
Barry Lam ,Taiwan,electronics,Technology 
Michael Moritz ,United States,venture capital,Technology 
Teh Hong Piow ,Malaysia,banking,Finance & Investments 
Gary Wang ,United States,cryptocurrency exchange,Finance & Investments 
Andre Esteves ,Brazil,banking,Finance & Investments 
Joshua Harris ,United States,private equity,Finance & Investments 
Rakesh Jhunjhunwala ,India,investments,Finance & Investments 
Ken Langone ,United States,investments,Finance & Investments 
Ludwig Merckle ,Germany,pharmaceuticals,Finance & Investments 
Sandra Ortega Mera ,Spain,Zara,Fashion & Retail 
Terrence Pegula ,United States,natural gas,Energy 
Karen Pritzker ,United States,"hotels, investments",Finance & Investments 
Mitchell Rales ,United States,"manufacturing, investments",Manufacturing 
Wolfgang Reimann ,Germany,consumer goods,Fashion & Retail 
Matthias Reimann-Andersen ,Germany,consumer goods,Fashion & Retail 
Stefan Reimann-Andersen ,Germany,consumer goods,Fashion & Retail 
Renate Reimann-Haas ,Germany,consumer goods,Fashion & Retail 
Ruan Liping ,Hong Kong,power strips,Manufacturing 
Ruan Xueping ,Hong Kong,power strip,Manufacturing 
Charles Simonyi ,United States,Microsoft,Technology 
John A. Sobrato & family ,United States,real estate,Real Estate 
David Steward ,United States,IT provider,Technology 
Radovan Vitek ,Czech Republic,real estate,Real Estate 
Les Wexner & family ,United States,retail,Fashion & Retail 
Aloys Wobben ,Germany,wind turbines,Energy 
Sam Zell ,United States,"real estate, private equity",Real Estate 
Anthony Bamford & family ,United Kingdom,construction equipment,Construction & Engineering 
Rainer Blickle ,Germany,auto parts,Manufacturing 
Clive Calder ,United Kingdom,record label,Media & Entertainment 
Frits Goldschmeding ,Netherlands,temp agency,Service 
Ananda Krishnan ,Malaysia,"telecoms, media, oil-services",Telecom 
Joe Mansueto ,United States,investment research,Finance & Investments 
Odd Reitan & family ,Norway,"retail, real estate",Fashion & Retail 
Antony Ressler ,United States,finance,Finance & Investments 
Tang Xiao'ou ,Hong Kong,software,Technology 
Tse Ping ,China,pharmaceuticals,Healthcare 
Ken Xie ,United States,cybersecurity,Technology 
